LATITUDE,LONGITUDE,ELEVATION,AWND,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,Year,Month,Day,DayOfYear
48.55943,-93.39554,352.6,6.9,0.5,0.0,0.0,7.7,11.7,-3.8,2015,4,2,92
48.55943,-93.39554,352.6,4.2,0.0,0.0,0.0,-4.5,-0.5,-9.9,2015,4,3,93
48.55943,-93.39554,352.6,4.0,0.0,0.0,0.0,-3.6,1.7,-10.5,2015,4,4,94
48.55943,-93.39554,352.6,1.9,0.0,0.0,0.0,-4.8,3.3,-13.8,2015,4,5,95
48.55943,-93.39554,352.6,2.5,0.0,0.0,0.0,-1.8,3.3,-7.1,2015,4,6,96
48.55943,-93.39554,352.6,4.6,6.1,51.0,50.0,-0.1,7.8,-6.0,2015,4,7,97
48.55943,-93.39554,352.6,1.8,0.0,0.0,50.0,0.1,3.9,-2.7,2015,4,8,98
48.55943,-93.39554,352.6,2.0,0.0,0.0,0.0,4.0,11.7,-1.6,2015,4,9,99
48.55943,-93.39554,352.6,3.7,0.0,0.0,0.0,3.6,11.1,-3.8,2015,4,10,100
48.55943,-93.39554,352.6,3.3,0.0,0.0,0.0,6.0,20.0,-5.5,2015,4,11,101
48.55943,-93.39554,352.6,4.7,0.0,0.0,0.0,15.8,21.1,8.9,2015,4,12,102
48.55943,-93.39554,352.6,5.9,0.0,0.0,0.0,8.9,13.3,1.1,2015,4,13,103
48.55943,-93.39554,352.6,3.7,0.0,0.0,0.0,8.2,18.3,-2.7,2015,4,14,104
48.55943,-93.39554,352.6,4.2,0.0,0.0,0.0,12.6,22.2,2.8,2015,4,15,105
48.55943,-93.39554,352.6,3.4,0.0,0.0,0.0,13.2,19.4,-2.1,2015,4,16,106
48.55943,-93.39554,352.6,4.5,0.0,0.0,0.0,8.3,22.2,-4.9,2015,4,17,107
48.55943,-93.39554,352.6,4.5,0.0,0.0,0.0,7.9,17.2,-3.8,2015,4,18,108
48.55943,-93.39554,352.6,2.9,7.1,0.0,0.0,7.0,7.2,0.6,2015,4,19,109
48.55943,-93.39554,352.6,5.8,1.5,10.0,0.0,0.5,1.7,-1.6,2015,4,20,110
48.55943,-93.39554,352.6,7.3,2.3,48.0,30.0,-1.2,-0.5,-3.2,2015,4,21,111
48.55943,-93.39554,352.6,5.7,0.0,0.0,50.0,-1.1,4.4,-5.5,2015,4,22,112
48.55943,-93.39554,352.6,2.5,0.0,0.0,0.0,-0.4,8.3,-8.8,2015,4,23,113
48.55943,-93.39554,352.6,3.5,0.0,0.0,0.0,0.8,5.6,-6.0,2015,4,24,114
