"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES"
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","48.55943","-93.39554","352.6","2015-04-02","6.9",",,W",,,"0.5",",,W,2400","0.0","T,,W","0.0",",,W","7.7","H,,S","11.7",",,W","-3.8",",,W","  310",",,W","  240",",,W","13.0",",,W","18.3",",,W",,,,,,,,,,,,,,,,
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","48.55943","-93.39554","352.6","2015-04-03","4.2",",,W",,,"0.0","T,,W,2400","0.0","T,,W","0.0",",,W","-4.5","H,,S","-0.5",",,W","-9.9",",,W","  330",",,W","  320",",,W","9.8",",,W","12.1",",,W",,,,,,,,,,,,,,,,
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","48.55943","-93.39554","352.6","2015-04-04","4.0",",,W",,,"0.0","T,,W,2400","0.0","T,,W","0.0",",,W","-3.6","H,,S","1.7",",,W","-10.5",",,W","  310",",,W","  300",",,W","8.9",",,W","12.5",",,W","    1",",,W",,,,,,,,,,,,,,
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","48.55943","-93.39554","352.6","2015-04-05","1.9",",,W",,,"0.0",",,W,2400","0.0",",,W","0.0",",,W","-4.8","H,,S","3.3",",,W","-13.8",",,W","   30",",,W","   20",",,W","5.8",",,W","7.2",",,W",,,,,,,,,,,,,,,,
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","48.55943","-93.39554","352.6","2015-04-06","2.5",",,W",,,"0.0",",,W,2400","0.0",",,W","0.0",",,W","-1.8","H,,S","3.3",",,W","-7.1",",,W","  110",",,W","  100",",,W","6.7",",,W","8.5",",,W",,,,,,,,,,,,,"    1",",,W",,
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","48.55943","-93.39554","352.6","2015-04-07","4.6",",,W",,,"6.1",",,W,2400","51.0",",,W","50.0",",,W","-0.1","H,,S","7.8",",,W","-6.0",",,W","  100",",,W","  130",",,W","9.8",",,W","13.0",",,W","    1",",,W",,,,,,,,,,,"    1",",,W",,
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","48.55943","-93.39554","352.6","2015-04-08","1.8",",,W",,,"0.0","T,,W,2400","0.0","T,,W","50.0",",,W","0.1","H,,S","3.9",",,W","-2.7",",,W","  110",",,W","   30",",,W","4.0",",,W","4.5",",,W","    1",",,W",,,,,,,,,,,,,,
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","48.55943","-93.39554","352.6","2015-04-09","2.0",",,W",,,"0.0",",,W,2400","0.0",",,W","0.0",",,W","4.0","H,,S","11.7",",,W","-1.6",",,W","   20",",,W","   10",",,W","5.4",",,W","7.2",",,W",,,,,,,,,,,,,"    1",",,W",,
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","48.55943","-93.39554","352.6","2015-04-10","3.7",",,W",,,"0.0",",,W,2400","0.0",",,W","0.0",",,W","3.6","H,,S","11.1",",,W","-3.8",",,W","  340",",,W","  340",",,W","7.6",",,W","11.6",",,W",,,,,,,,,,,,,,,,
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","48.55943","-93.39554","352.6","2015-04-11","3.3",",,W",,,"0.0",",,W,2400","0.0",",,W","0.0",",,W","6.0","H,,S","20.0",",,W","-5.5",",,W","  210",",,W","  140",",,W","8.1",",,W","11.2",",,W",,,,,,,,,,,,,,,,
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","48.55943","-93.39554","352.6","2015-04-12","4.7",",,W",,,"0.0","T,,W,2400","0.0",",,W","0.0",",,W","15.8","H,,S","21.1",",,W","8.9",",,W","  310",",,W","  230",",,W","9.4",",,W","13.0",",,W",,,,,"    1",",,W",,,,,,,,,,
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","48.55943","-93.39554","352.6","2015-04-13","5.9",",,W",,,"0.0","T,,W,2400","0.0",",,W","0.0",",,W","8.9","H,,S","13.3",",,W","1.1",",,W","  310",",,W","  330",",,W","14.8",",,W","19.2",",,W",,,,,,,,,,,,,,,,
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","48.55943","-93.39554","352.6","2015-04-14","3.7",",,W",,,"0.0",",,W,2400","0.0",",,W","0.0",",,W","8.2","H,,S","18.3",",,W","-2.7",",,W","  320",",,W","  280",",,W","7.2",",,W","9.4",",,W",,,,,,,,,,,,,,,,
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","48.55943","-93.39554","352.6","2015-04-15","4.2",",,W",,,"0.0",",,W,2400","0.0",",,W","0.0",",,W","12.6","H,,S","22.2",",,W","2.8",",,W","  210",",,W","  220",",,W","10.7",",,W","16.1",",,W",,,,,,,,,,,,,,,,
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","48.55943","-93.39554","352.6","2015-04-16","3.4",",,W",,,"0.0",",,W,2400","0.0",",,W","0.0",",,W","13.2","H,,S","19.4",",,W","-2.1",",,W","  330",",,W","  250",",,W","8.9",",,W","10.7",",,W",,,,,,,,,,,,,,,,
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","48.55943","-93.39554","352.6","2015-04-17","4.5",",,W",,,"0.0",",,W,2400","0.0",",,W","0.0",",,W","8.3","H,,S","22.2",",,W","-4.9",",,W","  300",",,W","  300",",,W","13.4",",,W","17.9",",,W",,,,,,,,,,,,,,,,
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","48.55943","-93.39554","352.6","2015-04-18","4.5",",,W",,,"0.0",",,W,2400","0.0",",,W","0.0",",,W","7.9","H,,S","17.2",",,W","-3.8",",,W","  140",",,W","  140",",,W","9.4",",,W","13.0",",,W",,,,,,,,,,,,,,,,
